lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-1.73,1.9,0.38,-141.4375,272.1875,-202.25,0.0464,0.4846,0.7655,-0.4208
-1.73,1.9,0.38,-140.625,268.25,-199.1875,0.0278,0.4804,0.7794,-0.4013
-1.59,1.71,0.4,-139.3125,263.8125,-193.375,0.0095,0.4761,0.7922,-0.3817
-1.86,1.43,0.37,-138.25,264.1875,-188.4375,-0.0087,0.4717,0.8041,-0.3618
-2.57,1.02,0.65,-139.25,264.5625,-187.3125,-0.0269,0.4669,0.8152,-0.3416
-2.09,0.64,0.7,-141.625,263.625,-184.875,-0.0447,0.4619,0.8256,-0.3208
-1.67,0.58,1.11,-141.4375,259.25,-174.625,-0.062,0.4571,0.835,-0.3
-1.67,0.3,1.28,-138.8125,252.5,-164.3125,-0.0786,0.4525,0.8432,-0.2795
-1.66,0.34,1.31,-138.375,256.0,-155.625,-0.0952,0.4482,0.8503,-0.2587
-1.61,0.43,1.98,-142.6875,265.5,-150.125,-0.1121,0.4442,0.8567,-0.2371
-1.41,0.55,2.0,-147.0625,272.1875,-144.4375,-0.1291,0.4404,0.8621,-0.2148
-1.25,0.73,2.02,-148.0,276.0625,-136.875,-0.1461,0.4368,0.8665,-0.1922
-0.59,0.89,2.22,-147.1875,281.3125,-129.375,-0.1633,0.4336,0.8699,-0.1694
-0.29,0.6,2.15,-146.5625,286.1875,-122.625,-0.1807,0.4305,0.8721,-0.1464
-0.31,0.59,2.29,-145.25,285.8125,-113.375,-0.1978,0.4277,0.8734,-0.1235
-0.66,0.56,2.4,-140.5,283.5,-107.125,-0.2146,0.4249,0.8736,-0.1011
-1.0,0.66,3.13,-143.5,285.25,-104.625,-0.2313,0.4221,0.873,-0.0783
-1.33,0.17,3.13,-147.3125,284.4375,-97.375,-0.2476,0.4195,0.8716,-0.0554
-1.54,0.51,3.45,-150.5625,282.3125,-88.3125,-0.2634,0.4173,0.8691,-0.0324
-1.47,1.25,3.01,-151.25,280.375,-82.9375,-0.2787,0.4152,0.866,-0.0096
-1.74,1.3,2.88,-149.375,284.125,-78.3125,-0.2942,0.413,0.8618,0.0131
-1.77,1.08,2.68,-149.375,284.125,-78.3125,-0.3101,0.4109,0.8566,0.036
-1.74,0.75,2.15,-150.4375,298.0,-70.5,-0.326,0.4086,0.8504,0.0591
-1.32,1.24,2.17,-150.8125,298.3125,-63.8125,-0.3418,0.4066,0.8433,0.0819
-1.21,1.34,2.19,-149.5,292.5625,-55.875,-0.357,0.4047,0.8354,0.1042
-1.59,1.15,1.93,-147.875,287.4375,-52.875,-0.3716,0.4027,0.827,0.126
-1.95,0.99,2.02,-147.6875,281.25,-48.8125,-0.3856,0.4008,0.8179,0.1473
-1.61,1.25,2.0,-145.8125,279.5,-42.875,-0.3992,0.399,0.8082,0.1682
-1.4,0.89,2.15,-145.5,283.6875,-39.5625,-0.413,0.397,0.7975,0.189
