lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-0.35,-0.22,-0.01,-6.4375,3.375,-1.4375,-0.0076,0.3047,-0.6716,-0.6753
-0.33,-0.17,-0.02,-8.25,6.4375,-1.4375,-0.0073,0.3053,-0.6711,-0.6756
-0.32,-0.14,-0.08,-9.3125,10.4375,-1.75,-0.0059,0.3072,-0.6698,-0.676
-0.29,-0.1,-0.14,-10.3125,13.75,-2.375,-0.0049,0.3083,-0.6691,-0.6762
-0.14,0.0,-0.27,-11.5625,16.125,-2.9375,-0.0038,0.3096,-0.6683,-0.6763
-0.06,0.0,-0.3,-12.3125,17.5625,-2.625,-0.0038,0.3096,-0.6683,-0.6763
-0.03,0.03,-0.29,-12.4375,18.1875,-2.0,-0.0026,0.3108,-0.6677,-0.6765
-0.01,0.04,-0.35,-12.9375,17.4375,-2.0625,-0.0014,0.312,-0.6669,-0.6766
-0.08,0.07,-0.51,-12.75,17.0,-2.4375,0.0009,0.3144,-0.6656,-0.6769
-0.06,0.1,-0.7,-11.5625,17.625,-2.6875,0.0021,0.3156,-0.6649,-0.6769
0.1,0.15,-0.75,-10.0625,19.3125,-2.4375,0.0021,0.3156,-0.6649,-0.6769
0.43,0.18,-0.68,-8.25,18.75,-1.5625,0.0032,0.3168,-0.6644,-0.6769
0.44,0.18,-0.62,-5.9375,14.875,-1.375,0.0046,0.3184,-0.6638,-0.6768
0.51,0.17,-0.59,-3.5,9.3125,-2.25,0.0048,0.3187,-0.6636,-0.6768
0.13,0.06,-0.54,-1.3125,4.375,-2.4375,0.0047,0.319,-0.6635,-0.6767
-0.04,0.08,-0.48,-0.375,1.25,-3.1875,0.0047,0.319,-0.6635,-0.6767
-0.16,0.1,-0.47,-0.25,0.6875,-3.375,0.0045,0.3192,-0.6635,-0.6767
-0.17,0.09,-0.44,-0.125,3.0625,-2.1875,0.0049,0.32,-0.6633,-0.6765
0.04,0.09,-0.19,0.125,6.6875,-1.6875,0.0053,0.3206,-0.6633,-0.6761
0.08,0.0,-0.11,0.75,9.75,-1.0625,0.0059,0.3214,-0.6634,-0.6757
0.08,0.02,-0.1,1.4375,11.8125,-0.6875,0.0059,0.3214,-0.6634,-0.6757
0.55,0.14,-0.05,1.125,12.9375,0.0,0.0066,0.3221,-0.6635,-0.6753
0.8,0.11,0.01,1.375,14.375,3.375,0.0087,0.3232,-0.6639,-0.6743
0.74,0.04,0.02,2.25,14.3125,6.5625,0.0097,0.3234,-0.6642,-0.6738
0.52,-0.07,0.03,2.6875,11.5625,7.5,0.0106,0.3234,-0.6647,-0.6735
0.33,-0.17,0.04,2.8125,8.1875,9.125,0.0106,0.3234,-0.6647,-0.6735
0.16,-0.24,0.06,2.75,6.0,10.25,0.0115,0.3231,-0.6651,-0.6731
0.0,-0.29,0.05,2.375,6.25,11.1875,0.0134,0.3227,-0.666,-0.6725
-0.43,-0.31,0.11,1.875,7.4375,11.0,0.0143,0.3226,-0.6663,-0.6721
-0.5,-0.27,0.1,1.9375,8.25,8.9375,0.015,0.3229,-0.6666,-0.6718
-0.58,-0.22,0.05,2.25,8.9375,4.8125,0.015,0.3229,-0.6666,-0.6718
-0.63,-0.19,-0.16,2.625,8.375,-0.8125,0.0154,0.3234,-0.6666,-0.6714
-0.73,-0.19,-0.28,2.4375,6.0,-6.875,0.0145,0.325,-0.6663,-0.671
-0.88,-0.21,-0.45,1.625,1.8125,-13.3125,0.0133,0.326,-0.6658,-0.671
-1.34,-0.05,-0.73,0.75,-1.3125,-20.1875,0.0133,0.326,-0.6658,-0.671
-1.6,0.13,-0.76,1.8125,-4.5,-27.75,0.0114,0.3274,-0.6652,-0.671
-1.75,0.26,-0.72,7.1875,-10.0,-36.1875,0.0086,0.3289,-0.6646,-0.671
-1.92,0.3,-0.92,14.5,-16.875,-45.875,0.0046,0.3304,-0.6641,-0.6706
-2.7,0.35,-1.87,22.4375,-23.625,-58.3125,-0.0006,0.3324,-0.6638,-0.67
-2.95,0.47,-2.14,30.25,-30.9375,-73.0625,-0.0073,0.3347,-0.6634,-0.6692
-3.23,0.58,-2.75,39.875,-39.1875,-87.75,-0.0156,0.3374,-0.6631,-0.668
-5.03,0.57,-3.78,50.0625,-47.625,-103.5625,-0.0256,0.3405,-0.6629,-0.6664
