lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-2.13,7.54,-0.76,97.0,129.1875,-304.6875,-0.7526,0.6033,-0.263,0.0208
-2.13,7.54,-0.76,95.3125,126.75,-296.25,-0.7538,0.6033,-0.2557,0.0482
-2.17,6.42,-0.39,95.9375,125.75,-292.6875,-0.7545,0.6028,-0.2484,0.0753
-2.86,6.23,-0.69,92.375,124.5,-293.5,-0.7545,0.6021,-0.2407,0.1022
-3.48,6.02,-0.98,88.8125,128.1875,-293.0625,-0.7535,0.601,-0.233,0.1292
-3.72,6.02,-0.85,84.8125,138.5625,-291.4375,-0.7516,0.5996,-0.2261,0.1563
-4.05,5.89,-1.22,80.125,152.6875,-287.9375,-0.7487,0.5978,-0.22,0.1838
-4.16,6.16,-1.64,80.125,152.6875,-287.9375,-0.7448,0.5953,-0.2147,0.2117
-2.91,6.48,-1.11,78.5625,178.8125,-280.75,-0.7401,0.592,-0.2104,0.2396
-3.07,6.3,-1.04,79.4375,189.875,-272.5,-0.7349,0.5878,-0.2069,0.2675
-2.98,6.78,-1.23,80.375,195.875,-265.375,-0.7292,0.5828,-0.204,0.2949
-2.74,6.93,-1.22,86.3125,200.75,-255.625,-0.7233,0.5767,-0.2015,0.322
-3.85,9.97,-0.33,99.0625,206.5,-258.125,-0.7173,0.5692,-0.1988,0.3493
-4.05,5.92,-0.57,110.125,213.875,-252.375,-0.7112,0.5602,-0.1963,0.3766
-3.42,5.3,-0.19,108.75,234.6875,-272.25,-0.7035,0.5504,-0.194,0.4056
-3.33,6.27,0.35,113.625,247.375,-268.3125,-0.6952,0.5393,-0.1922,0.4347
-3.51,5.95,0.47,117.125,256.9375,-250.3125,-0.6868,0.5268,-0.1915,0.4628
-3.53,6.01,0.37,119.1875,271.875,-242.9375,-0.6779,0.5129,-0.1917,0.4907
-2.96,6.18,0.07,123.8125,270.9375,-237.125,-0.6686,0.4982,-0.1917,0.5177
-1.7,6.34,0.2,130.125,254.0625,-227.3125,-0.6597,0.4832,-0.1907,0.5431
-1.62,6.15,0.16,136.125,233.25,-218.625,-0.6512,0.4681,-0.1884,0.5667
-1.36,5.92,0.1,140.5,212.6875,-212.25,-0.643,0.4534,-0.1849,0.5888
-0.88,5.8,1.09,140.5,212.6875,-212.25,-0.6351,0.4391,-0.1805,0.6094
-0.52,5.72,1.3,143.1875,193.9375,-204.625,-0.6276,0.425,-0.1752,0.6284
-0.44,5.71,1.7,146.375,164.125,-184.75,-0.6204,0.4111,-0.1694,0.6461
0.18,5.92,2.52,146.375,153.125,-177.625,-0.6134,0.3975,-0.1633,0.6626
0.5,5.87,2.55,147.0,138.0625,-172.1875,-0.6067,0.3845,-0.1564,0.678
0.42,5.38,2.33,145.0,121.3125,-164.75,-0.6002,0.3722,-0.1489,0.6921
0.24,5.06,2.02,139.25,110.625,-156.6875,-0.5939,0.3605,-0.1414,0.7052
0.15,5.25,1.83,132.6875,106.0625,-147.1875,-0.5878,0.3493,-0.1343,0.7172
0.4,4.95,1.6,128.0,97.75,-137.25,-0.5821,0.3385,-0.1273,0.7283
0.61,4.54,1.33,123.5,82.75,-128.5,-0.5767,0.3287,-0.1201,0.7382
0.36,4.55,1.73,123.5,82.75,-128.5,-0.5718,0.3199,-0.1127,0.747
0.19,4.38,1.93,118.0625,66.875,-119.5,-0.5674,0.3121,-0.1054,0.7547
0.16,4.24,2.16,102.75,45.6875,-98.5625,-0.5634,0.3051,-0.0984,0.7615
0.45,4.26,2.79,94.0625,35.8125,-87.625,-0.5598,0.299,-0.0918,0.7673
0.37,4.01,2.93,85.0,27.875,-77.0625,-0.5567,0.2938,-0.0857,0.7723
0.31,3.91,3.11,85.0,27.875,-77.0625,-0.554,0.2893,-0.0801,0.7766
0.33,3.87,3.29,75.1875,21.625,-67.375,-0.5517,0.2856,-0.0751,0.78
0.59,3.79,3.61,55.5625,8.125,-47.5625,-0.5498,0.2828,-0.0707,0.7828
0.58,3.6,3.79,46.25,-0.8125,-36.625,-0.5485,0.2809,-0.0667,0.7847
0.48,3.5,3.9,36.375,-9.8125,-26.125,-0.5477,0.28,-0.0632,0.7859
0.31,3.33,4.38,36.375,-9.8125,-26.125,-0.5473,0.2799,-0.0604,0.7864
0.25,3.22,4.64,25.875,-15.5,-15.75,-0.5474,0.2806,-0.0584,0.7863
0.29,3.13,4.77,2.4375,-25.5,6.125,-0.548,0.2822,-0.0573,0.7853
0.21,3.0,4.94,-8.8125,-33.125,17.5,-0.5491,0.2847,-0.0567,0.7837
0.09,2.92,5.34,-19.4375,-43.375,29.5625,-0.5508,0.2883,-0.0567,0.7812
-0.09,2.74,5.48,-19.4375,-43.375,29.5625,-0.5531,0.2931,-0.0571,0.7778
-0.27,2.71,5.72,-29.5625,-54.3125,41.1875,-0.5559,0.299,-0.0578,0.7734
-0.6,2.43,5.65,-47.1875,-78.4375,62.75,-0.5591,0.306,-0.0588,0.7682
-0.96,2.35,5.63,-56.75,-85.3125,70.75,-0.5627,0.3139,-0.0603,0.7624
-1.21,2.43,5.62,-66.5,-90.25,78.625,-0.5664,0.3224,-0.0624,0.7559
-1.16,2.38,5.58,-66.5,-90.25,78.625,-0.5702,0.3317,-0.0649,0.7488
-1.14,2.29,6.07,-75.875,-95.3125,84.875,-0.574,0.3417,-0.0679,0.741
-0.94,2.09,6.37,-94.5,-110.25,94.5625,-0.5778,0.3526,-0.0712,0.7327
-0.95,1.86,6.57,-106.125,-117.0,97.75,-0.5813,0.3644,-0.075,0.7237
-1.3,1.97,6.15,-117.8125,-124.1875,99.6875,-0.5845,0.3771,-0.0792,0.7141
-1.72,2.06,5.78,-117.8125,-124.1875,99.6875,-0.5872,0.3905,-0.0837,0.704
-1.95,2.12,5.26,-128.4375,-129.6875,100.6875,-0.5894,0.4045,-0.0887,0.6936
-2.18,2.05,4.32,-150.9375,-131.1875,99.1875,-0.5909,0.4189,-0.0944,0.683
-2.42,2.19,4.02,-162.125,-128.4375,99.3125,-0.5919,0.4335,-0.1008,0.6721
-2.5,2.37,4.01,-172.3125,-125.25,98.0,-0.592,0.4484,-0.1079,0.6609
-2.58,2.04,3.88,-172.3125,-125.25,98.0,-0.592,0.4484,-0.1079,0.6609
-2.75,2.09,3.44,-183.125,-121.5625,95.5625,-0.5914,0.4633,-0.1157,0.6498
-2.8,2.26,3.25,-205.5625,-104.1875,86.1875,-0.5872,0.4932,-0.1335,0.6279
-2.78,2.52,2.95,-215.4375,-96.5,80.8125,-0.5834,0.5079,-0.1435,0.6172
-2.75,2.81,1.59,-223.125,-91.5,76.4375,-0.5788,0.5226,-0.1539,0.6068
-3.01,3.13,1.58,-223.125,-91.5,76.4375,-0.5734,0.5374,-0.1644,0.5962
-3.27,3.1,1.18,-228.5,-88.8125,71.4375,-0.5672,0.552,-0.1747,0.5857
-3.66,3.1,0.07,-236.75,-84.75,57.8125,-0.5602,0.5665,-0.1851,0.5753
-3.67,3.13,0.0,-242.0,-76.1875,48.4375,-0.552,0.5808,-0.1955,0.5654
-2.54,3.24,-0.37,-246.5,-68.0,41.0625,-0.5428,0.5947,-0.2061,0.556
-1.92,3.39,-0.52,-253.375,-63.875,29.125,-0.5325,0.6087,-0.2164,0.5469
-1.44,3.52,-0.8,-253.375,-63.875,29.125,-0.5219,0.6224,-0.2267,0.5375
-1.7,3.73,-1.28,-254.125,-67.125,23.9375,-0.5107,0.636,-0.2365,0.528
-1.51,4.37,-1.74,-252.3125,-66.8125,16.5625,-0.4991,0.6494,-0.2457,0.5185
-1.46,4.53,-1.94,-251.0,-60.8125,11.4375,-0.487,0.6622,-0.2547,0.5093
-1.34,4.82,-2.36,-249.9375,-43.8125,7.4375,-0.4742,0.6741,-0.264,0.5011
-1.05,4.94,-3.06,-249.9375,-43.8125,7.4375,-0.4611,0.6856,-0.2732,0.4926
-1.06,4.73,-2.91,-246.5625,-41.3125,6.4375,-0.448,0.6967,-0.2822,0.4841
-0.78,4.54,-2.62,-241.4375,-38.375,4.5,-0.4348,0.7071,-0.2908,0.4759
-0.11,4.66,-2.74,-237.5,-32.875,2.875,-0.4214,0.7169,-0.2993,0.4678
0.58,5.38,-3.22,-228.0,-29.625,8.375,-0.4086,0.7258,-0.3076,0.4599
0.88,5.57,-3.18,-228.0,-29.625,8.375,-0.3957,0.7345,-0.3159,0.4518
0.73,5.42,-3.34,-220.875,-31.6875,11.375,-0.3832,0.7427,-0.324,0.4435
0.24,5.66,-4.08,-211.6875,-31.5,12.125,-0.3712,0.7502,-0.3315,0.4352
0.04,5.63,-3.85,-203.0625,-27.25,14.5,-0.3596,0.7571,-0.3391,0.4273
0.53,5.63,-4.08,-188.9375,-5.125,25.1875,-0.3484,0.7622,-0.3473,0.4207
1.15,6.04,-4.35,-188.9375,-5.125,25.1875,-0.3373,0.7671,-0.3554,0.4141
1.31,5.81,-4.32,-167.6875,7.375,39.8125,-0.3276,0.7703,-0.364,0.4083
0.89,5.19,-3.83,-167.6875,7.375,39.8125,-0.3177,0.7734,-0.3726,0.4025
0.36,4.45,-3.14,-141.125,2.5,37.9375,-0.3098,0.7759,-0.3799,0.3972
0.44,1.93,-4.95,-131.0,30.75,24.75,-0.301,0.7774,-0.3867,0.3943
0.71,8.22,-31.26,-131.0,30.75,24.75,-0.2922,0.7789,-0.3934,0.3914
1.75,17.15,-33.64,-93.6875,55.625,30.75,-0.2852,0.7783,-0.3999,0.3912
-7.47,0.95,-0.47,103.3125,-69.3125,55.25,-0.2961,0.7762,-0.3984,0.3887
-1.15,-2.66,5.01,97.5625,-27.125,-0.25,-0.3034,0.7746,-0.3945,0.3903
5.05,-7.05,6.74,77.125,-35.625,-19.625,-0.309,0.7744,-0.3898,0.391
-2.16,-2.43,5.98,77.125,-35.625,-19.625,-0.3145,0.7742,-0.385,0.3917
0.27,-0.98,3.14,4.375,-4.8125,-9.3125,-0.3147,0.7745,-0.3842,0.3918
3.46,0.13,1.18,-27.1875,35.75,4.4375,-0.3119,0.7739,-0.3863,0.3931
1.5,1.06,-0.85,-21.4375,19.375,3.8125,-0.31,0.7737,-0.3878,0.3936
-2.22,3.33,-5.38,-7.75,6.25,-5.8125,-0.3091,0.7739,-0.3878,0.3939
-0.92,2.37,-4.31,-7.75,6.25,-5.8125,-0.3082,0.7741,-0.3878,0.3942
0.07,1.13,-2.19,1.8125,10.0625,-2.625,-0.3079,0.7738,-0.3879,0.395
-0.16,0.44,0.04,14.75,2.9375,-4.3125,-0.3086,0.7735,-0.3871,0.3958
