lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
3.69,-0.06,0.43,36.5625,24.8125,-104.0625,0.3644,-0.8758,0.1401,0.2839
3.49,-0.16,1.43,37.5625,12.875,-95.125,0.3693,-0.876,0.1343,0.2795
4.91,-0.65,3.23,32.1875,20.0,-81.4375,0.3734,-0.8764,0.1297,0.2751
4.88,-1.32,4.13,16.1875,41.3125,-58.8125,0.3755,-0.8774,0.127,0.27
3.62,0.43,2.88,-7.9375,67.8125,-41.875,0.3751,-0.8797,0.1259,0.2637
3.75,0.95,1.54,-29.1875,76.125,-29.5,0.3728,-0.8826,0.1254,0.2574
3.29,0.94,0.46,-32.5625,54.4375,-9.375,0.37,-0.8849,0.1257,0.2534
0.63,1.45,-0.72,-28.5625,13.75,1.9375,0.3677,-0.886,0.1257,0.2527
-0.37,1.31,-0.72,-25.125,-20.1875,-0.8125,0.366,-0.8864,0.1245,0.2545
-0.79,0.82,-0.09,-17.25,-31.9375,-6.25,0.3652,-0.8864,0.1227,0.2569
-0.08,-0.23,1.51,-11.0625,-25.1875,-9.1875,0.3649,-0.8862,0.121,0.2586
-0.05,-0.26,1.15,-14.5625,-1.6875,-8.8125,0.364,-0.8867,0.1199,0.2586
-0.69,0.58,-0.12,-28.4375,34.375,-5.5625,0.3616,-0.8884,0.1199,0.2562
-1.54,1.97,-1.35,-41.375,61.375,-3.3125,0.3579,-0.891,0.1207,0.2518
-3.86,3.92,-3.0,-43.5625,55.375,3.75,0.354,-0.8934,0.1217,0.2482
-4.49,4.44,-2.51,-35.5625,28.875,9.625,0.3508,-0.895,0.1226,0.2467
-4.3,4.32,-2.17,-18.6875,-1.5625,5.5,0.3493,-0.8955,0.1225,0.2472
-1.39,1.47,-9.89,4.0,-16.5,-0.75,0.3498,-0.895,0.1221,0.2484
-12.75,5.95,0.41,24.625,-10.25,-1.6875,0.3518,-0.8941,0.1221,0.2488
-34.05,13.84,10.09,-33.25,-36.125,-24.5625,0.3502,-0.8946,0.1185,0.2512
-27.19,18.54,0.37,-163.4375,-224.3125,-102.75,0.3422,-0.8954,0.1006,0.2667
19.64,0.21,-0.19,-64.375,-94.5,-69.625,0.3396,-0.8956,0.0912,0.2723
14.42,-4.8,4.27,150.5,243.8125,38.75,0.3481,-0.8964,0.1045,0.2537
9.56,-1.29,6.23,150.375,125.1875,-22.875,0.3588,-0.8947,0.1097,0.2422
-1.67,5.35,3.84,-9.0,-97.8125,-30.375,0.3597,-0.8932,0.1042,0.2488
1.98,5.74,2.1,-44.625,-77.5,31.8125,0.3563,-0.8926,0.1033,0.256
3.2,5.45,1.28,-37.0625,11.75,41.8125,0.3525,-0.8937,0.106,0.2567
-2.66,2.82,1.32,-24.375,-0.4375,34.0,0.3499,-0.894,0.1081,0.2579
-1.97,2.07,1.21,-20.25,-25.1875,26.25,0.348,-0.8939,0.1089,0.2607
0.18,1.75,1.01,-22.9375,2.8125,13.5,0.346,-0.8945,0.1095,0.2612
0.86,1.66,1.04,-25.9375,16.625,10.25,0.3436,-0.8955,0.1102,0.2604
-0.52,2.14,0.75,-29.375,-0.5,17.375,0.3411,-0.8962,0.1108,0.2612
-0.78,2.37,0.4,-29.25,-15.4375,22.375,0.3385,-0.8965,0.1115,0.2633
-1.17,2.36,0.13,-25.5625,-21.0625,19.5625,0.3363,-0.8965,0.1118,0.2657
-2.3,2.57,-0.01,-21.5,-22.5,15.5625,0.3345,-0.8965,0.1118,0.2681
-2.28,2.38,-0.1,-18.5,-14.8125,10.4375,0.333,-0.8966,0.1118,0.2697
-2.04,2.31,-0.01,-14.0,0.5625,9.4375,0.3317,-0.8969,0.1122,0.27
-1.69,2.47,-0.14,-9.9375,8.6875,9.25,0.3307,-0.8973,0.1129,0.2697
-1.87,2.64,-0.34,-7.625,3.125,11.8125,0.3298,-0.8975,0.1137,0.2699
-1.42,2.79,-0.14,-1.9375,-4.5,7.875,0.3295,-0.8973,0.1141,0.2704
-1.42,2.81,0.29,2.6875,-15.8125,1.9375,0.3298,-0.8969,0.1139,0.2717
-1.08,3.05,0.97,4.8125,-31.5,-2.3125,0.3306,-0.8961,0.1129,0.274
-0.24,2.97,0.94,6.4375,-43.1875,-5.625,0.3316,-0.8949,0.1115,0.277
0.3,2.72,0.75,8.5,-50.6875,-5.125,0.3328,-0.8936,0.1099,0.2806
-0.5,2.41,0.64,8.6875,-57.375,-3.1875,0.3341,-0.892,0.1081,0.2848
-0.68,2.4,0.32,7.4375,-52.9375,-5.6875,0.3353,-0.8905,0.1063,0.2886
-0.33,2.35,0.33,9.4375,-33.875,-9.3125,0.3365,-0.8895,0.1049,0.2908
0.33,2.15,0.38,11.875,-13.8125,-6.5625,0.3377,-0.8889,0.1043,0.2915
1.29,1.75,0.79,11.125,-3.75,3.0,0.3385,-0.8884,0.1047,0.2918
1.53,1.67,0.79,8.6875,-1.6875,14.4375,0.3384,-0.8882,0.1047,0.2927
1.8,1.52,0.73,5.875,-5.1875,24.25,0.3383,-0.8876,0.1066,0.2938
1.74,1.23,0.98,4.5,-12.25,31.375,0.338,-0.8869,0.1087,0.2955
1.72,1.29,1.29,3.0625,-19.625,36.0,0.3375,-0.886,0.1109,0.298
1.57,1.38,1.39,-0.25,-27.1875,40.0625,0.3367,-0.8849,0.1131,0.3012
1.57,2.03,1.56,-4.875,-31.8125,46.5625,0.3349,-0.884,0.114,0.3055
2.14,2.28,1.74,-10.0625,-34.75,55.0,0.3331,-0.8829,0.1168,0.3098
2.42,2.45,1.73,-14.3125,-41.375,66.0,0.3307,-0.8815,0.1202,0.3149
2.01,2.61,1.56,-16.25,-52.0,77.0,0.3279,-0.8798,0.1241,0.321
1.0,2.98,1.28,-14.25,-64.6875,81.3125,0.3253,-0.8775,0.1279,0.3282
0.94,2.66,1.3,-7.6875,-75.5625,81.5,0.3228,-0.8749,0.1304,0.3367
0.66,2.15,1.04,2.8125,-81.9375,84.125,0.3215,-0.8715,0.1344,0.345
0.2,1.35,0.67,11.0,-83.8125,86.0625,0.3207,-0.8678,0.1388,0.3533
0.21,0.95,0.53,16.625,-81.5625,86.9375,0.3203,-0.8638,0.1434,0.3615
0.23,0.63,0.34,19.125,-78.1875,89.6875,0.3199,-0.8598,0.1484,0.3693
-0.22,0.58,0.41,19.0625,-78.625,94.3125,0.3181,-0.8561,0.1509,0.3784
-0.18,0.68,0.57,17.75,-85.375,97.9375,0.3173,-0.8516,0.1563,0.3869
-0.47,0.72,0.79,17.125,-97.125,101.0625,0.3165,-0.8466,0.1615,0.3964
-0.83,0.8,0.87,17.75,-108.3125,104.625,0.3157,-0.8409,0.1667,0.4066
-1.69,0.82,0.92,19.4375,-117.0625,103.625,0.3151,-0.8349,0.1716,0.4174
-1.81,0.59,0.84,24.9375,-123.0625,99.0,0.3152,-0.8284,0.1761,0.4283
-1.95,0.32,0.66,32.75,-125.125,94.125,0.3159,-0.8215,0.1805,0.4391
-2.41,0.12,0.5,38.375,-122.125,88.25,0.3171,-0.8145,0.1848,0.4493
-2.5,0.12,0.54,39.9375,-116.0625,82.5,0.3185,-0.8077,0.1889,0.4588
-2.47,0.11,0.57,38.375,-107.9375,78.125,0.3198,-0.8011,0.1928,0.4677
-2.34,0.07,0.59,35.3125,-96.5,76.75,0.3207,-0.7951,0.1968,0.4756
-1.47,0.42,0.83,31.625,-83.1875,77.5,0.3211,-0.7896,0.201,0.4828
-1.2,0.29,0.85,28.1875,-70.5625,80.4375,0.3209,-0.7845,0.2056,0.4891
-0.93,0.13,0.93,27.375,-61.625,86.5625,0.3202,-0.7797,0.2108,0.4951
-0.08,0.12,1.06,26.5,-58.4375,90.0625,0.3192,-0.7749,0.2162,0.5009
0.32,0.0,1.05,24.6875,-58.5625,94.375,0.3179,-0.77,0.2219,0.5068
0.6,-0.03,0.92,22.5,-59.5,101.0625,0.3161,-0.7649,0.2278,0.5129
0.72,0.11,0.53,19.375,-58.875,107.625,0.3138,-0.7597,0.234,0.5192
0.81,0.16,0.3,15.6875,-57.0625,113.3125,0.311,-0.7545,0.2404,0.5255
1.2,0.18,0.19,12.0,-54.4375,119.5,0.3075,-0.7493,0.2471,0.5319
1.47,0.09,0.26,8.25,-50.125,126.125,0.3034,-0.7441,0.2542,0.5381
0.6,0.02,0.39,5.875,-43.625,131.8125,0.2987,-0.7391,0.2616,0.5441
0.25,0.04,0.31,4.0,-37.875,133.625,0.2936,-0.7343,0.2692,0.5497
-0.12,0.0,0.54,1.3125,-31.5,133.375,0.2882,-0.7297,0.2767,0.5549
0.13,0.18,0.47,-1.5625,-24.0625,133.3125,0.2824,-0.7255,0.2842,0.5596
0.68,0.12,0.34,-4.0,-19.5,134.9375,0.2762,-0.7214,0.2918,0.5641
1.16,-0.01,0.29,-7.0,-18.1875,140.75,0.2695,-0.7171,0.2996,0.5686
1.81,0.0,0.08,-10.125,-20.4375,147.9375,0.2623,-0.7126,0.3076,0.5734
1.18,-0.12,0.11,-13.5625,-26.75,153.0625,0.2548,-0.7075,0.3156,0.5787
0.42,-0.03,0.16,-15.3125,-35.0625,154.0,0.2472,-0.702,0.3232,0.5845
0.21,0.12,0.12,-16.5625,-45.0625,149.375,0.2401,-0.696,0.3303,0.5907
-0.06,0.28,0.17,-16.5625,-49.875,147.1875,0.2331,-0.6896,0.337,0.597
