lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-30.37,0.28,2.73,190.75,-88.4375,-314.375,0.5062,-0.0522,0.8602,0.0328
-7.36,-11.54,-4.13,143.125,33.5625,-472.875,0.5052,-0.0805,0.8593,0.0021
2.04,-10.49,0.09,24.875,63.5625,-289.5,0.5007,-0.1004,0.8597,-0.0125
-10.09,0.9,5.17,45.5,-76.6875,-116.0625,0.5065,-0.107,0.8553,-0.0201
-9.71,7.17,1.68,37.1875,-114.75,-141.0,0.5148,-0.1158,0.849,-0.0278
-3.1,11.71,12.17,22.75,-79.0625,-190.5625,0.5201,-0.1286,0.8435,-0.0369
5.47,12.73,17.86,-9.625,-91.5,-172.1875,0.5259,-0.1416,0.8375,-0.0428
8.62,13.49,19.25,-63.5,-115.75,-80.4375,0.5331,-0.1505,0.8316,-0.0405
18.89,18.97,19.45,-136.5625,-98.0625,-34.0625,0.538,-0.1594,0.8271,-0.0311
26.8,21.82,23.06,-219.5,-45.1875,-7.125,0.5381,-0.1699,0.8254,-0.0156
30.19,24.31,24.37,-244.25,-50.75,39.25,0.5381,-0.1783,0.8238,0.004
32.43,24.53,23.05,-175.625,-151.625,15.4375,0.5459,-0.1851,0.8169,0.0192
32.35,10.66,7.09,-73.75,-305.625,-52.5,0.5657,-0.1916,0.8016,0.0267
31.27,1.95,0.12,-19.1875,-444.375,-78.1875,0.5952,-0.1967,0.7785,0.0314
24.75,-2.15,-0.27,-11.9375,-489.9375,-67.9375,0.6269,-0.2003,0.752,0.0369
7.25,-2.61,-3.64,6.6875,-477.3125,-50.625,0.6569,-0.2015,0.7253,0.0418
2.31,-4.21,-10.0,57.4375,-410.5625,-6.5625,0.6827,-0.1971,0.7022,0.0449
-1.21,-6.99,-12.13,110.3125,-259.0,50.4375,0.6995,-0.1867,0.6884,0.0455
-12.36,-16.56,-8.65,134.6875,-63.625,86.75,0.7049,-0.1735,0.6864,0.0438
-24.09,-23.93,-8.7,131.6875,65.875,123.1875,0.7025,-0.1587,0.6925,0.0425
-29.51,-29.03,-9.55,125.375,0.0,183.3125,0.7034,-0.1405,0.6953,0.0461
-29.49,-26.86,-10.22,127.25,-159.875,149.1875,0.7135,-0.1235,0.6879,0.0494
-29.5,-12.97,-7.64,120.1875,-271.5,36.1875,0.7302,-0.113,0.6722,0.0474
-29.55,-9.74,-7.12,112.875,-273.625,-45.9375,0.7467,-0.1075,0.6552,0.0407
