lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-3.76,2.19,-0.95,86.5,-5.4375,-218.625,0.4151,0.7541,-0.0023,-0.5089
-3.55,2.25,-0.83,86.5,-5.4375,-218.625,0.3997,0.7571,0.0082,-0.5167
-3.47,2.32,-0.65,91.5625,5.0,-230.75,0.3837,0.7601,0.0191,-0.524
-3.49,2.24,-0.22,93.125,11.0,-235.8125,0.3671,0.7631,0.0305,-0.531
-3.0,2.33,0.03,94.75,16.375,-237.4375,0.3503,0.7659,0.0421,-0.5375
-2.65,2.34,0.28,94.75,16.375,-237.4375,0.3331,0.7687,0.0535,-0.5434
-2.55,2.42,0.22,96.875,20.125,-237.1875,0.3155,0.7712,0.0651,-0.5491
-2.47,2.58,0.2,100.625,19.5,-241.3125,0.2975,0.7733,0.0767,-0.5547
-2.14,2.91,0.39,101.25,20.375,-241.0625,0.2794,0.775,0.0881,-0.5599
-1.52,3.14,0.64,101.875,23.4375,-239.8125,0.2612,0.7766,0.0995,-0.5646
-0.67,2.92,0.75,101.875,23.4375,-239.8125,0.2429,0.7779,0.111,-0.5688
0.04,3.15,0.76,101.0625,27.6875,-239.1875,0.2246,0.7791,0.1224,-0.5724
0.66,3.21,0.95,97.4375,35.625,-233.25,0.2065,0.78,0.1337,-0.5754
1.61,2.73,1.24,95.1875,38.9375,-228.375,0.1886,0.7808,0.1448,-0.5778
2.27,2.76,1.44,92.0,43.8125,-221.4375,0.1712,0.7816,0.1556,-0.5794
2.7,2.82,1.68,92.0,43.8125,-221.4375,0.1545,0.7822,0.166,-0.5803
3.19,2.85,1.82,86.375,48.1875,-211.1875,0.1385,0.7829,0.1757,-0.5805
4.16,2.84,2.1,79.25,56.625,-185.8125,0.1233,0.7838,0.1848,-0.58
4.66,3.0,2.25,75.3125,61.8125,-171.8125,0.1089,0.7848,0.1931,-0.5788
5.03,3.1,2.43,71.6875,64.8125,-157.1875,0.0954,0.7859,0.2005,-0.577
5.63,3.01,2.49,71.6875,64.8125,-157.1875,0.0828,0.7872,0.2072,-0.5749
5.98,3.26,2.54,67.75,65.9375,-142.9375,0.071,0.7886,0.2131,-0.5725
6.3,3.63,2.47,58.5625,63.875,-112.4375,0.0605,0.7899,0.2181,-0.5699
6.41,3.69,2.63,54.375,56.375,-93.625,0.0513,0.7911,0.222,-0.5676
7.03,3.47,2.83,49.375,48.1875,-75.875,0.0435,0.7922,0.2249,-0.5656
7.13,3.5,2.85,49.375,48.1875,-75.875,0.0371,0.7932,0.2269,-0.5639
7.18,3.53,2.98,42.625,40.4375,-58.25,0.032,0.7941,0.2281,-0.5625
7.26,3.24,2.99,29.5625,26.875,-23.75,0.0284,0.795,0.2283,-0.5613
7.4,3.16,2.92,21.375,20.4375,-5.4375,0.0263,0.7959,0.2277,-0.5604
7.54,3.07,2.86,12.6875,15.5,14.0,0.0258,0.7969,0.2262,-0.5595
7.75,2.73,3.2,12.6875,15.5,14.0,0.027,0.7981,0.2237,-0.5588
7.72,2.41,3.39,4.0,10.5625,35.0625,0.03,0.7994,0.2202,-0.5582
7.65,2.09,3.42,-15.8125,-4.4375,76.5,0.0347,0.8005,0.2158,-0.558
7.34,1.6,3.47,-25.6875,-26.3125,98.3125,0.0416,0.801,0.2103,-0.5591
7.14,0.48,3.73,-34.375,-63.0,119.0625,0.0507,0.7999,0.2036,-0.5623
7.11,0.2,4.02,-34.375,-63.0,119.0625,0.0507,0.7999,0.2036,-0.5623
6.51,0.24,4.14,-46.1875,-114.0625,128.9375,0.0618,0.7964,0.1965,-0.5685
3.65,0.5,2.56,-62.25,-238.9375,163.0,0.0914,0.7798,0.179,-0.5928
0.69,1.15,-0.02,-67.8125,-244.875,172.375,0.1082,0.7694,0.1691,-0.6064
-3.09,1.81,-2.32,-71.4375,-196.8125,172.125,0.1245,0.7609,0.1597,-0.6164
-9.26,3.24,-3.64,-71.4375,-196.8125,172.125,0.1245,0.7609,0.1597,-0.6164
-10.86,3.79,-2.77,-73.8125,-119.125,161.1875,0.1517,0.7552,0.1465,-0.6207
-10.64,4.4,-1.5,-76.3125,39.625,118.4375,0.1623,0.7577,0.1434,-0.6156
