lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-0.4,1.83,5.87,-286.3125,-130.375,-36.3125,-0.1912,0.422,0.847,-0.2606
0.24,1.72,6.0,-301.0625,-129.75,-28.5,-0.1718,0.4218,0.8564,-0.2432
1.17,1.66,6.45,-314.1875,-136.4375,-22.0625,-0.1511,0.4218,0.8653,-0.2249
1.82,1.91,6.95,-323.3125,-151.4375,-19.75,-0.1288,0.4214,0.8737,-0.2063
1.53,2.0,7.17,-331.1875,-172.3125,-21.25,-0.1046,0.4202,0.8817,-0.1877
0.93,2.29,7.35,-337.625,-191.375,-22.125,-0.0787,0.4183,0.889,-0.169
0.13,2.51,7.64,-342.4375,-200.5625,-19.8125,-0.0518,0.416,0.8954,-0.1502
-0.09,2.57,7.88,-350.0625,-202.75,-14.125,-0.0243,0.4136,0.9007,-0.1307
-0.28,2.71,8.03,-354.25,-200.5625,-7.5625,0.0033,0.4113,0.9047,-0.1107
-0.34,2.81,8.16,-353.5625,-191.5625,-1.0625,0.0302,0.4091,0.9075,-0.0903
-0.49,3.51,8.15,-345.75,-179.625,4.75,0.0559,0.407,0.9091,-0.0699
-0.37,3.56,7.77,-334.4375,-170.0625,10.0,0.0804,0.405,0.9094,-0.05
-0.24,3.67,7.3,-320.3125,-163.75,13.0,0.104,0.4029,0.9088,-0.0309
-0.56,3.6,6.17,-300.3125,-158.5625,11.9375,0.1264,0.4006,0.9074,-0.0131
-0.57,3.3,5.66,-281.3125,-154.25,8.25,0.1477,0.3979,0.9055,0.0033
-0.7,3.01,5.03,-262.6875,-150.5625,4.375,0.168,0.3949,0.9031,0.0184
-1.87,2.59,3.88,-243.25,-146.5625,-1.125,0.1872,0.3915,0.9004,0.032
-1.87,2.59,3.88,-221.1875,-138.0625,-7.6875,0.205,0.3877,0.8976,0.0441
-3.33,1.81,2.32,-196.3125,-120.6875,-15.4375,0.2206,0.3835,0.8951,0.0548
-4.07,1.53,1.48,-168.625,-94.875,-23.5,0.2333,0.379,0.8932,0.064
-4.24,1.36,0.1,-140.8125,-63.25,-30.25,0.2427,0.3742,0.8921,0.072
