lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
0.4,-0.25,-0.29,-3.3125,10.0,-5.3125,0.3618,0.5817,-0.4288,-0.5889
0.5,-0.16,-0.27,-4.625,9.125,-3.0,0.3622,0.5822,-0.4282,-0.5887
0.73,-0.02,-0.36,-4.9375,8.3125,-0.625,0.3628,0.5824,-0.4276,-0.5885
0.92,0.25,-0.72,-5.75,7.0625,-2.1875,0.3647,0.5838,-0.4255,-0.5875
0.73,0.35,-0.71,-5.875,5.5,-6.3125,0.3649,0.5841,-0.4247,-0.5876
0.67,0.44,-0.6,-4.375,2.3125,-8.0625,0.3648,0.5844,-0.4241,-0.5879
0.62,0.49,-0.42,-2.4375,-3.375,-7.4375,0.3644,0.5844,-0.4236,-0.5884
0.59,0.53,-0.07,0.25,-9.875,-6.875,0.3637,0.5842,-0.4236,-0.5891
0.58,0.53,0.08,0.25,-9.875,-6.875,0.3625,0.5836,-0.424,-0.5901
0.49,0.49,0.22,3.6875,-18.0,-7.75,0.3607,0.5829,-0.4247,-0.5914
0.38,0.2,0.33,10.625,-33.0,-10.5625,0.3585,0.5819,-0.4257,-0.593
0.31,0.06,0.24,12.5625,-35.6875,-10.625,0.356,0.5809,-0.4269,-0.5946
0.23,-0.12,0.22,12.5625,-34.6875,-10.9375,0.3536,0.58,-0.428,-0.5962
0.21,-0.26,0.14,11.5625,-32.5,-11.9375,0.3513,0.579,-0.429,-0.5977
0.17,-0.34,0.14,10.0625,-30.6875,-12.25,0.349,0.5782,-0.4298,-0.5992
0.22,-0.38,0.22,8.375,-28.75,-11.3125,0.347,0.5775,-0.4305,-0.6006
0.24,-0.36,0.26,6.875,-27.3125,-10.25,0.3452,0.5767,-0.4312,-0.6021
0.28,-0.37,0.32,5.375,-27.25,-9.3125,0.3434,0.5757,-0.4318,-0.6035
0.33,-0.31,0.32,5.375,-27.25,-9.3125,0.3417,0.5748,-0.4324,-0.6049
0.33,-0.24,0.37,4.375,-27.375,-8.375,0.3403,0.5736,-0.433,-0.6063
0.3,-0.18,0.37,3.3125,-27.3125,-7.3125,0.3389,0.5724,-0.4336,-0.6078
0.15,0.0,0.3,3.0625,-26.375,-7.125,0.3375,0.5714,-0.4341,-0.6092
0.1,0.02,0.35,2.8125,-25.0625,-6.875,0.3361,0.5704,-0.4347,-0.6105
0.06,0.08,0.36,2.25,-23.6875,-6.625,0.3347,0.5695,-0.4352,-0.6118
0.0,0.12,0.29,1.5625,-22.5,-6.625,0.3334,0.5687,-0.4355,-0.613
-0.04,0.14,0.29,0.625,-20.5,-6.625,0.3323,0.5679,-0.4359,-0.6141
-0.09,0.13,0.22,-0.375,-17.6875,-6.1875,0.3314,0.5671,-0.436,-0.6152
-0.07,0.15,0.15,-1.75,-14.0625,-5.5,0.3306,0.5666,-0.4361,-0.616
0.0,0.13,0.05,-1.75,-14.0625,-5.5,0.3302,0.5661,-0.436,-0.6168
0.1,0.16,-0.03,-3.1875,-9.875,-4.4375,0.3301,0.5658,-0.4358,-0.6173
0.17,0.21,-0.11,-5.4375,-2.9375,-2.4375,0.3301,0.5656,-0.4355,-0.6177
0.22,0.27,-0.17,-5.6875,-0.8125,-1.8125,0.3302,0.5654,-0.4351,-0.618
0.4,0.35,-0.24,-5.4375,1.375,-0.625,0.3305,0.5654,-0.4348,-0.6182
0.48,0.35,-0.33,-5.4375,1.375,-0.625,0.3309,0.5654,-0.4344,-0.6182
0.55,0.37,-0.34,-4.9375,3.6875,0.5625,0.3314,0.5656,-0.434,-0.618
0.61,0.42,-0.38,-3.1875,6.3125,1.25,0.3318,0.5658,-0.4338,-0.6178
0.65,0.42,-0.35,-1.5,5.375,1.25,0.3322,0.566,-0.4336,-0.6176
0.61,0.43,-0.34,-0.0625,2.6875,0.5625,0.3323,0.5661,-0.4335,-0.6174
0.6,0.43,-0.31,0.8125,0.375,0.4375,0.3326,0.566,-0.4341,-0.6169
0.56,0.38,-0.15,1.9375,-1.4375,0.625,0.3328,0.5657,-0.4346,-0.6166
0.47,0.32,-0.05,2.625,-4.25,-0.3125,0.3328,0.5655,-0.4352,-0.6166
0.39,0.28,-0.04,4.125,-9.3125,-2.625,0.3321,0.5652,-0.4355,-0.6169
0.35,0.21,0.04,5.625,-13.625,-4.0625,0.3311,0.5648,-0.436,-0.6175
0.3,-0.03,0.2,5.625,-13.625,-4.0625,0.3299,0.5643,-0.4366,-0.6182
0.17,-0.12,0.32,6.625,-16.1875,-5.3125,0.3285,0.5638,-0.4371,-0.619
0.14,-0.17,0.43,8.0625,-18.3125,-8.125,0.327,0.5634,-0.4376,-0.6198
0.17,-0.25,0.57,8.5625,-17.5,-8.5625,0.3255,0.563,-0.4382,-0.6205
0.12,-0.28,0.62,8.3125,-16.125,-9.5625,0.324,0.5628,-0.4386,-0.6212
0.12,-0.28,0.7,8.3125,-16.125,-9.5625,0.3226,0.5626,-0.4389,-0.6219
0.16,-0.28,0.76,7.6875,-14.5625,-9.6875,0.3213,0.5625,-0.4392,-0.6225
0.23,-0.25,0.91,6.4375,-11.25,-8.375,0.3201,0.5624,-0.4395,-0.623
0.29,-0.26,0.95,5.5625,-10.4375,-7.6875,0.3191,0.5623,-0.4396,-0.6235
0.29,-0.2,1.01,4.6875,-9.5,-6.75,0.3181,0.5621,-0.4398,-0.624
0.28,-0.15,1.06,4.6875,-9.5,-6.75,0.3174,0.562,-0.44,-0.6244
0.28,-0.09,1.09,3.375,-8.4375,-5.6875,0.3168,0.5618,-0.4401,-0.6248
0.26,-0.07,1.12,1.25,-6.4375,-2.5625,0.3171,0.5605,-0.4397,-0.626
0.28,-0.07,1.13,0.5,-5.875,-1.3125,0.3176,0.5592,-0.4393,-0.6273
0.26,-0.01,1.1,-0.375,-5.875,0.125,0.3181,0.5579,-0.4389,-0.6285
0.24,0.01,1.08,-0.375,-5.875,0.125,0.3186,0.5565,-0.4386,-0.6296
0.19,0.02,1.03,-0.6875,-6.4375,1.25,0.319,0.5551,-0.4385,-0.6307
0.2,0.07,0.97,-0.3125,-9.8125,3.0625,0.3194,0.5536,-0.4385,-0.6318
0.11,0.06,0.93,-0.1875,-12.875,3.25,0.3195,0.5521,-0.4385,-0.6331
0.0,0.08,0.9,-0.375,-16.75,3.0625,0.3195,0.5505,-0.4387,-0.6344
-0.09,0.13,0.83,-0.375,-16.75,3.0625,0.3189,0.5493,-0.4393,-0.6353
-0.26,0.28,0.84,-0.625,-20.125,3.0625,0.3182,0.5479,-0.44,-0.6363
-0.37,0.28,0.75,-0.125,-23.625,2.375,0.3175,0.5466,-0.4408,-0.6373
-0.5,0.29,0.74,0.125,-23.1875,2.0,0.3167,0.5452,-0.4415,-0.6384
-0.6,0.23,0.67,0.875,-21.8125,2.125,0.316,0.544,-0.4422,-0.6393
-0.69,0.06,0.56,0.875,-21.8125,2.125,0.3153,0.5428,-0.4429,-0.6401
-0.7,0.01,0.51,0.875,-19.625,2.25,0.3148,0.5418,-0.4435,-0.6409
-0.69,-0.02,0.54,0.0625,-17.5,1.9375,0.3142,0.5408,-0.444,-0.6416
-0.57,-0.12,0.41,0.5625,-17.75,1.125,0.3136,0.5398,-0.4446,-0.6424
-0.5,-0.21,0.31,1.25,-17.75,-0.375,0.3129,0.5388,-0.4451,-0.6431
-0.46,-0.32,0.24,1.25,-17.75,-0.375,0.3129,0.5388,-0.4451,-0.6431
-0.43,-0.45,0.18,2.1875,-18.0625,-1.8125,0.311,0.5371,-0.4461,-0.6448
-0.27,-0.67,0.13,2.8125,-20.5,-3.375,0.3099,0.5362,-0.4467,-0.6457
-0.22,-0.71,0.01,3.375,-22.0625,-4.5,0.3087,0.5353,-0.4472,-0.6467
-0.21,-0.74,-0.03,3.625,-23.1875,-5.375,0.3074,0.5343,-0.4478,-0.6477
-0.16,-0.77,-0.14,3.625,-23.1875,-5.375,0.306,0.5333,-0.4484,-0.6488
-0.18,-0.79,-0.2,4.0625,-23.625,-5.6875,0.3046,0.5324,-0.4489,-0.6498
-0.21,-0.76,-0.25,4.1875,-21.9375,-5.8125,0.3032,0.5315,-0.4495,-0.6508
-0.27,-0.74,-0.27,3.625,-19.75,-5.4375,0.302,0.5308,-0.45,-0.6517
-0.25,-0.61,-0.25,3.4375,-17.75,-4.9375,0.3005,0.5304,-0.4502,-0.6525
-0.28,-0.46,-0.26,3.4375,-17.75,-4.9375,0.2991,0.5301,-0.4504,-0.6531
-0.28,-0.36,-0.25,2.9375,-16.25,-4.3125,0.2983,0.5295,-0.4507,-0.6537
-0.31,-0.2,-0.18,2.5625,-12.3125,-3.5,0.2975,0.5291,-0.451,-0.6543
-0.37,0.13,-0.07,2.875,-11.6875,-2.9375,0.2968,0.5286,-0.4514,-0.6548
-0.39,0.36,-0.07,3.25,-11.5,-2.9375,0.296,0.5281,-0.4517,-0.6553
-0.39,0.55,-0.02,3.25,-11.5,-2.9375,0.296,0.5281,-0.4517,-0.6553
-0.41,0.92,0.08,3.875,-11.8125,-2.875,0.2952,0.5277,-0.4521,-0.6557
-0.45,1.01,0.08,6.75,-12.1875,-4.1875,0.2933,0.5269,-0.4531,-0.6566
-0.47,1.04,0.07,8.5625,-12.4375,-5.375,0.2922,0.5267,-0.4536,-0.6569
-0.43,1.0,0.09,10.0625,-13.4375,-5.8125,0.2909,0.5264,-0.4542,-0.6572
-0.26,0.76,0.02,10.0625,-13.4375,-5.8125,0.2909,0.5264,-0.4542,-0.6572
-0.21,0.56,-0.01,11.4375,-14.25,-7.25,0.2879,0.526,-0.4555,-0.658
-0.15,0.46,-0.05,11.5,-12.1875,-8.25,0.2864,0.5259,-0.4561,-0.6583
0.09,0.36,-0.1,10.75,-10.75,-7.25,0.2852,0.5259,-0.4566,-0.6585
0.18,0.3,-0.11,10.375,-9.25,-7.0,0.2839,0.5259,-0.4571,-0.6587
0.21,0.19,-0.11,10.375,-9.25,-7.0,0.2839,0.5259,-0.4571,-0.6587
0.21,0.09,-0.14,9.625,-7.4375,-7.3125,0.2828,0.526,-0.4575,-0.6588
0.15,-0.16,-0.17,6.0,-4.1875,-6.5625,0.2811,0.5263,-0.4579,-0.6591
0.12,-0.23,-0.2,4.375,-1.75,-6.0,0.2805,0.5265,-0.4579,-0.6591
0.09,-0.3,-0.22,3.0,1.1875,-5.125,0.2801,0.5269,-0.4578,-0.6591
0.11,-0.36,-0.23,3.0,1.1875,-5.125,0.281,0.5281,-0.4568,-0.6584
0.23,-0.56,-0.19,2.1875,4.25,-4.25,0.281,0.5281,-0.4568,-0.6584
0.36,-0.66,-0.26,0.5,10.3125,-1.75,0.2813,0.5293,-0.4562,-0.6577
0.47,-0.72,-0.39,-1.0625,12.75,-0.3125,0.2819,0.53,-0.4559,-0.6572
0.57,-0.71,-0.37,-3.0625,14.0625,0.5625,0.2825,0.5307,-0.4554,-0.6566
0.63,-0.64,-0.26,-3.0625,14.0625,0.5625,0.2825,0.5307,-0.4554,-0.6566
0.68,-0.57,-0.3,-4.3125,15.0625,0.9375,0.2834,0.5314,-0.4548,-0.6561
0.69,-0.48,-0.31,-7.3125,18.375,1.3125,0.2855,0.5329,-0.4534,-0.655
0.53,-0.14,-0.31,-10.25,22.0,1.375,0.2868,0.5338,-0.4523,-0.6543
0.56,0.08,-0.2,-12.5,26.3125,3.1875,0.2886,0.5349,-0.4512,-0.6535
0.6,0.29,-0.08,-12.5,26.3125,3.1875,0.2886,0.5349,-0.4512,-0.6535
0.66,0.69,0.0,-13.625,29.25,4.875,0.2927,0.5374,-0.4481,-0.6517
0.58,0.84,0.02,-13.375,28.75,6.0625,0.2968,0.5396,-0.4457,-0.6497
0.56,0.97,0.02,-12.1875,25.4375,6.25,0.2987,0.5404,-0.4447,-0.6489
0.41,1.02,0.04,-10.375,22.0625,6.125,0.3004,0.5411,-0.4438,-0.6481
0.24,0.99,0.05,-10.375,22.0625,6.125,0.3004,0.5411,-0.4438,-0.6481
0.24,0.93,0.02,-7.9375,18.4375,6.4375,0.3023,0.5421,-0.4428,-0.6471
0.24,0.81,0.0,-5.125,14.6875,6.625,0.3043,0.5427,-0.4423,-0.6459
0.27,0.76,0.0,-2.5,10.5,6.4375,0.3049,0.5428,-0.4424,-0.6454
0.29,0.51,0.04,-0.3125,6.5625,5.9375,0.3053,0.5429,-0.4427,-0.6451
0.26,0.4,0.02,1.5,3.9375,5.6875,0.3053,0.5429,-0.4427,-0.6451
0.27,0.32,-0.05,2.625,3.375,6.0,0.3057,0.543,-0.4429,-0.6446
0.27,0.15,-0.18,2.5625,4.0,6.3125,0.3066,0.5432,-0.4435,-0.6437
0.3,0.11,-0.22,2.125,5.3125,6.25,0.3071,0.5433,-0.4437,-0.6431
0.33,0.03,-0.24,1.375,6.6875,5.5625,0.3077,0.5436,-0.4437,-0.6426
0.29,-0.01,-0.27,0.5625,8.4375,5.125,0.3077,0.5436,-0.4437,-0.6426
0.32,0.01,-0.3,-0.5,9.5625,4.875,0.3092,0.5446,-0.4429,-0.6416
0.32,0.06,-0.28,-1.0625,10.5,4.375,0.3105,0.5453,-0.4426,-0.6405
0.3,0.07,-0.28,-1.0,10.75,4.0625,0.3112,0.5458,-0.4427,-0.6397
0.4,0.09,-0.23,-0.5625,9.875,3.875,0.3118,0.546,-0.4429,-0.6391
0.36,0.09,-0.22,0.375,8.0625,3.6875,0.3118,0.546,-0.4429,-0.6391
0.33,0.12,-0.18,1.3125,6.3125,3.9375,0.3123,0.5462,-0.4432,-0.6385
0.28,0.15,-0.11,1.875,4.6875,4.0,0.3131,0.5464,-0.4438,-0.6375
0.25,0.15,-0.1,2.4375,4.1875,4.3125,0.3135,0.5466,-0.4442,-0.637
0.25,0.15,-0.06,2.8125,4.25,4.625,0.3138,0.5466,-0.4446,-0.6364
0.28,0.13,-0.05,3.0,4.625,5.0,0.3138,0.5466,-0.4446,-0.6364
0.28,0.02,-0.13,2.8125,5.6875,5.0,0.3143,0.5468,-0.4449,-0.6359
0.3,0.01,-0.09,2.4375,7.125,5.25,0.3153,0.5472,-0.4454,-0.6346
0.32,0.03,-0.04,1.6875,7.9375,5.3125,0.316,0.5474,-0.4456,-0.634
0.37,0.04,-0.06,1.25,8.1875,6.125,0.3167,0.5476,-0.4458,-0.6334
0.41,0.01,-0.03,1.0,8.0625,6.125,0.3167,0.5476,-0.4458,-0.6334
0.4,-0.03,-0.01,1.25,7.0,5.625,0.3173,0.5477,-0.446,-0.6328
0.39,-0.03,-0.04,1.75,6.5,5.625,0.3184,0.5479,-0.4466,-0.6316
0.36,-0.02,-0.09,1.5,5.75,5.9375,0.3189,0.548,-0.4469,-0.6311
0.35,0.0,-0.1,1.0625,4.75,5.625,0.3194,0.548,-0.4472,-0.6306
0.34,0.01,-0.14,1.5,4.375,5.625,0.3194,0.548,-0.4472,-0.6306
0.28,0.0,-0.14,1.625,4.25,5.0625,0.3198,0.548,-0.4475,-0.6301
0.31,-0.11,-0.15,2.0,4.3125,4.3125,0.3206,0.5482,-0.4481,-0.6292
0.35,-0.13,-0.14,2.0,4.25,4.125,0.3209,0.5483,-0.4484,-0.6287
0.31,-0.13,-0.12,2.0625,4.375,3.9375,0.3211,0.5484,-0.4487,-0.6284
0.33,-0.11,-0.06,2.375,3.125,3.875,0.3211,0.5484,-0.4487,-0.6284
0.31,-0.02,-0.03,2.8125,1.3125,3.375,0.3213,0.5484,-0.449,-0.6281
0.28,-0.04,-0.02,3.25,-0.5625,3.0625,0.3212,0.5482,-0.4498,-0.6276
0.28,-0.06,-0.05,4.125,-2.3125,2.375,0.321,0.548,-0.4503,-0.6276
0.23,-0.09,0.0,4.6875,-4.0,1.625,0.3207,0.5479,-0.4508,-0.6276
0.19,-0.08,-0.02,4.9375,-4.6875,1.25,0.3207,0.5479,-0.4508,-0.6276
0.19,-0.08,-0.01,4.75,-5.5,1.0,0.3203,0.5477,-0.4512,-0.6276
0.17,-0.01,0.0,4.875,-5.5625,0.5625,0.3195,0.5473,-0.4521,-0.6277
0.14,0.0,-0.06,4.6875,-5.6875,0.4375,0.319,0.5471,-0.4526,-0.6277
0.12,0.0,-0.09,4.9375,-5.375,0.4375,0.3187,0.547,-0.4529,-0.6277
0.09,-0.02,-0.13,4.4375,-4.8125,0.125,0.3187,0.547,-0.4529,-0.6277
0.04,0.0,-0.14,3.75,-4.0625,0.0625,0.3184,0.5469,-0.4532,-0.6278
0.04,0.04,-0.16,3.125,-3.125,0.0,0.3179,0.5468,-0.4538,-0.6277
0.05,0.07,-0.21,2.8125,-2.0,-0.1875,0.3177,0.5468,-0.454,-0.6276
0.07,0.07,-0.22,2.875,-1.75,-0.5,0.3174,0.5469,-0.4543,-0.6276
0.16,0.04,-0.2,3.1875,-1.5,-0.625,0.3174,0.5469,-0.4543,-0.6276
0.18,0.02,-0.21,3.4375,-1.25,-0.5625,0.3173,0.5469,-0.4546,-0.6274
0.22,-0.01,-0.21,3.375,-0.875,-0.4375,0.317,0.5471,-0.4551,-0.627
0.21,-0.02,-0.17,3.3125,-0.375,-0.25,0.3168,0.5472,-0.4554,-0.6268
0.21,-0.03,-0.18,3.125,0.25,0.1875,0.3168,0.5473,-0.4556,-0.6265
0.25,-0.04,-0.18,2.75,1.0625,0.5,0.3168,0.5473,-0.4556,-0.6265
0.27,-0.02,-0.16,2.5625,1.1875,0.5,0.3167,0.5474,-0.4558,-0.6263
0.25,-0.06,-0.15,2.25,0.8125,0.375,0.3167,0.5475,-0.4562,-0.626
0.22,-0.05,-0.15,1.5625,0.3125,0.25,0.3167,0.5476,-0.4563,-0.6258
0.2,-0.03,-0.14,1.0,0.8125,0.25,0.3167,0.5477,-0.4564,-0.6257
0.17,-0.02,-0.11,0.8125,1.375,0.3125,0.3167,0.5477,-0.4564,-0.6257
0.21,0.0,-0.08,0.875,1.4375,0.25,0.3168,0.5478,-0.4564,-0.6255
0.19,0.0,-0.06,0.6875,0.9375,0.6875,0.3169,0.5479,-0.4566,-0.6252
0.19,0.0,-0.02,0.875,0.875,0.8125,0.3169,0.5479,-0.4567,-0.6252
0.18,0.03,0.03,1.0625,0.5,0.8125,0.317,0.5479,-0.4568,-0.6251
0.18,0.01,0.01,1.0625,0.125,0.9375,0.317,0.5479,-0.4568,-0.6251
0.16,-0.04,0.0,0.875,-0.375,1.0,0.317,0.5477,-0.4571,-0.625
0.16,-0.04,-0.03,0.9375,-0.6875,1.0625,0.317,0.5477,-0.4572,-0.6249
0.11,-0.05,-0.05,0.75,-0.75,1.0,0.317,0.5476,-0.4573,-0.6249
0.11,-0.02,-0.05,0.6875,-0.75,0.625,0.317,0.5475,-0.4574,-0.6249
0.08,-0.01,-0.07,0.3125,-1.125,0.625,0.317,0.5475,-0.4574,-0.6249
0.08,-0.01,-0.07,0.1875,-1.25,0.4375,0.3169,0.5474,-0.4575,-0.6251
0.08,0.06,-0.09,0.0625,-1.375,0.1875,0.3168,0.5473,-0.4575,-0.6251
0.06,0.02,-0.08,0.1875,-1.375,-0.0625,0.3168,0.5472,-0.4576,-0.6251
0.08,0.02,-0.09,0.25,-1.5,-0.25,0.3167,0.5472,-0.4576,-0.6252
0.11,-0.01,-0.13,0.4375,-1.0625,-0.4375,0.3167,0.5472,-0.4576,-0.6252
0.11,-0.04,-0.11,0.5625,-0.875,-0.5625,0.3167,0.5471,-0.4577,-0.6252
0.15,-0.07,-0.11,0.4375,-1.0,-0.75,0.3166,0.5471,-0.4578,-0.6252
0.16,-0.06,-0.15,0.4375,-0.75,-0.6875,0.3165,0.5471,-0.4578,-0.6252
0.18,-0.02,-0.15,0.5,-0.625,-0.625,0.3165,0.5471,-0.4578,-0.6252
0.18,-0.01,-0.15,0.5625,-0.25,-0.5625,0.3165,0.5471,-0.4578,-0.6252
0.16,-0.01,-0.11,0.375,0.0,-0.4375,0.3166,0.5471,-0.4579,-0.6251
0.16,0.02,-0.07,0.0625,-0.125,-0.1875,0.3166,0.5471,-0.4579,-0.6251
0.14,0.01,-0.04,-0.0625,-0.375,0.0,0.3166,0.5471,-0.458,-0.6251
0.14,0.03,-0.02,-0.25,-0.625,0.1875,0.3166,0.547,-0.4581,-0.6251
0.12,0.04,0.0,-0.3125,-0.8125,0.0625,0.3166,0.547,-0.4581,-0.6251
0.09,0.01,-0.04,-0.1875,-0.625,0.0,0.3172,0.5474,-0.4576,-0.6248
0.1,0.07,0.02,-0.375,-0.1875,-0.125,0.3173,0.5474,-0.4575,-0.6248
0.11,0.06,-0.02,-1.0,0.0,-0.1875,0.3173,0.5473,-0.4575,-0.6249
0.12,0.07,-0.03,-1.125,0.5625,-0.1875,0.3174,0.5474,-0.4575,-0.6248
0.13,0.05,-0.05,-0.75,0.75,-0.5625,0.3174,0.5474,-0.4575,-0.6248
0.15,0.05,-0.04,-0.875,0.875,-0.4375,0.3182,0.5478,-0.4568,-0.6245
0.19,0.04,-0.08,-1.0,0.6875,-0.1875,0.3182,0.5477,-0.4568,-0.6245
0.18,0.0,-0.09,-1.0,0.375,-0.125,0.3183,0.5477,-0.4568,-0.6245
0.21,-0.01,-0.11,-0.75,0.25,-0.0625,0.3183,0.5477,-0.4568,-0.6245
0.18,-0.06,-0.14,-0.5,0.125,0.0,0.3183,0.5477,-0.4568,-0.6245
0.19,-0.03,-0.11,-0.5625,0.5625,0.0625,0.3188,0.548,-0.4565,-0.6242
0.12,0.02,0.0,-1.0,0.375,0.25,0.3188,0.5479,-0.4565,-0.6243
