lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
0.45,0.26,-0.23,-2.875,25.75,-3.4375,0.652,0.7296,0.0562,-0.1984
0.42,0.28,-0.28,-2.875,23.9375,-3.5,0.652,0.73,0.0575,-0.1968
0.34,0.31,-0.31,-3.0625,22.4375,-3.8125,0.6519,0.7303,0.0588,-0.1953
0.37,0.24,-0.28,-3.0625,21.8125,-4.5,0.6519,0.7307,0.0601,-0.1938
0.35,0.22,-0.29,-2.8125,22.25,-4.75,0.6515,0.7311,0.0602,-0.1934
0.35,0.21,-0.31,-3.5,23.3125,-4.75,0.6514,0.7314,0.0616,-0.192
0.41,0.21,-0.32,-4.125,24.375,-4.875,0.6514,0.7318,0.0631,-0.1904
0.45,0.16,-0.34,-4.625,25.75,-4.625,0.6513,0.7321,0.0646,-0.1887
0.48,0.09,-0.3,-4.5,26.25,-4.375,0.6513,0.7325,0.0662,-0.1869
0.52,0.0,-0.3,-4.125,26.5,-4.0625,0.6512,0.7328,0.0675,-0.1852
0.45,0.0,-0.28,-3.8125,26.0,-3.5,0.6511,0.7333,0.069,-0.1834
0.43,0.04,-0.24,-3.625,25.25,-2.875,0.6511,0.7336,0.0704,-0.1817
0.35,0.12,-0.24,-3.6875,24.5625,-2.5625,0.651,0.7339,0.0717,-0.18
0.33,0.15,-0.29,-4.0,24.25,-1.8125,0.651,0.7342,0.0731,-0.1783
0.33,0.16,-0.26,-4.5,24.6875,-1.1875,0.6506,0.7347,0.0724,-0.1783
0.34,0.15,-0.23,-4.6875,25.625,-1.1875,0.6506,0.7349,0.0738,-0.1766
0.3,0.11,-0.18,-5.25,25.25,-1.25,0.6507,0.7351,0.0752,-0.1749
0.28,0.06,-0.18,-5.625,24.6875,-1.1875,0.6508,0.7352,0.0766,-0.1732
0.28,0.07,-0.18,-5.625,23.5625,-1.1875,0.6509,0.7354,0.0779,-0.1716
0.29,0.04,-0.18,-5.5,22.6875,-1.0,0.651,0.7355,0.0789,-0.1704
