lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
0.58,4.45,-6.95,169.3125,-53.8125,43.1875,0.2651,0.2892,0.7866,0.4768
0.72,4.44,-6.26,176.3125,-40.625,44.75,0.2651,0.2892,0.7866,0.4768
0.47,4.38,-5.92,183.75,-32.0,48.4375,0.2608,0.2978,0.792,0.4648
0.0,4.44,-5.7,190.625,-30.25,52.6875,0.2559,0.3066,0.7974,0.4525
-0.17,4.57,-5.66,196.8125,-28.25,52.8125,0.2507,0.3155,0.8028,0.4395
-0.39,4.62,-5.67,201.8125,-24.375,49.875,0.2451,0.324,0.8083,0.4262
-0.53,4.75,-5.23,206.125,-21.0625,47.3125,0.2391,0.3322,0.8138,0.4125
-0.43,5.05,-5.02,208.875,-16.5625,45.375,0.2327,0.3401,0.8194,0.3985
-0.78,5.72,-4.43,210.875,-9.875,44.1875,0.2258,0.3475,0.8249,0.3844
-0.77,5.88,-3.84,213.375,-3.125,41.4375,0.2184,0.3546,0.8304,0.3702
-0.99,5.93,-3.12,217.625,0.5,38.125,0.2107,0.3612,0.8359,0.3555
-1.2,5.97,-2.41,222.375,0.375,34.75,0.2028,0.3676,0.8414,0.3404
-1.52,5.71,-1.24,226.5,-1.0625,30.9375,0.1949,0.3736,0.8467,0.3247
-1.94,5.69,-0.87,230.3125,-1.6875,26.6875,0.187,0.3793,0.8521,0.3086
-2.17,5.66,-0.49,232.6875,0.0625,22.1875,0.179,0.3845,0.8572,0.2921
-1.75,5.09,-0.03,234.9375,6.25,16.0625,0.1704,0.3889,0.8624,0.2755
-1.66,5.04,0.54,235.6875,12.3125,11.3125,0.1615,0.3928,0.8676,0.2589
-1.54,5.04,1.14,235.625,15.0,8.3125,0.1523,0.3962,0.8724,0.2422
-1.35,5.13,1.68,235.0,15.1875,5.125,0.1432,0.3992,0.8771,0.2253
-1.04,4.65,2.81,233.9375,15.3125,2.125,0.1342,0.4019,0.8815,0.2086
-0.7,4.45,3.35,232.6875,16.1875,-0.25,0.125,0.4041,0.8856,0.1917
-0.55,4.12,3.82,230.25,18.3125,-1.375,0.1158,0.4061,0.8894,0.175
-0.56,3.22,4.71,226.75,16.375,-1.8125,0.1068,0.4078,0.8928,0.1586
-0.49,3.03,5.31,222.625,12.3125,-1.9375,0.0982,0.4095,0.8958,0.1422
-0.41,2.91,5.61,215.8125,11.5,-1.75,0.0898,0.4109,0.8984,0.1262
-0.56,2.91,5.71,206.875,10.8125,-0.75,0.0818,0.4122,0.9006,0.1108
-0.19,2.62,5.73,197.875,10.75,-1.0625,0.0742,0.4134,0.9024,0.0961
-0.2,2.38,6.04,188.4375,9.8125,-0.125,0.0668,0.4144,0.9039,0.0821
-0.41,2.19,6.52,179.0625,3.625,3.5,0.0602,0.4156,0.905,0.0685
-0.24,2.04,6.95,170.375,-6.0,3.625,0.0547,0.4167,0.9057,0.0554
-0.28,1.56,7.53,160.3125,-11.9375,4.25,0.0499,0.4178,0.9061,0.0427
0.07,1.42,7.94,148.125,-13.3125,3.0,0.0457,0.4187,0.9064,0.0309
0.44,1.17,8.12,134.875,-15.5,3.625,0.0421,0.4196,0.9066,0.02
0.43,0.97,8.5,122.25,-20.625,5.8125,0.0394,0.4204,0.9064,0.0099
0.14,1.01,8.68,111.3125,-27.125,5.875,0.0375,0.4213,0.9062,0.0004
-0.1,0.97,8.81,100.4375,-30.5,5.25,0.0362,0.4219,0.9058,-0.0083
-0.19,0.91,9.04,89.5,-30.0,4.875,0.0353,0.4226,0.9055,-0.0162
-0.17,0.85,9.52,78.25,-29.125,4.4375,0.0348,0.4231,0.9051,-0.0232
-0.25,0.75,9.77,67.5625,-28.625,3.125,0.0345,0.4235,0.9048,-0.0294
-0.27,0.6,9.89,57.0,-25.1875,0.875,0.0344,0.4236,0.9045,-0.0347
-0.46,0.21,10.29,44.6875,-18.5,-1.25,0.0342,0.4236,0.9044,-0.0388
-0.4,0.12,10.41,31.5,-9.5,-2.3125,0.0338,0.4235,0.9043,-0.0415
-0.17,0.11,10.45,17.3125,0.4375,-3.875,0.0332,0.4233,0.9044,-0.0428
-0.06,0.15,10.47,3.375,8.75,-4.9375,0.0325,0.4216,0.9052,-0.0427
0.47,0.46,10.69,-9.5625,15.625,-6.4375,0.0316,0.4211,0.9055,-0.0415
1.03,0.55,10.77,-23.0625,19.75,-7.9375,0.0309,0.4206,0.9059,-0.039
1.33,0.57,10.78,-36.125,19.125,-7.125,0.0306,0.42,0.9063,-0.0356
1.3,0.55,10.75,-47.625,11.75,-6.0,0.0314,0.4194,0.9067,-0.0316
0.71,0.62,10.39,-57.8125,1.375,-5.8125,0.0334,0.4178,0.9075,-0.027
0.5,0.71,10.24,-68.25,-7.3125,-6.0625,0.0363,0.4171,0.9078,-0.0221
0.23,0.82,10.03,-80.1875,-13.375,-5.0,0.0402,0.4164,0.9081,-0.0164
-0.31,1.33,9.78,-92.625,-16.8125,-3.4375,0.0447,0.4158,0.9083,-0.0099
-0.34,1.53,9.58,-105.0625,-16.3125,-3.1875,0.0497,0.4152,0.9084,-0.0024
-0.19,1.72,9.29,-118.375,-10.5625,-3.875,0.0546,0.4142,0.9085,0.0063
-0.05,1.94,8.95,-131.875,-1.9375,-4.5,0.0594,0.4132,0.9086,0.0163
-0.1,2.65,8.31,-144.5,6.25,-5.5625,0.064,0.412,0.9085,0.0276
-0.1,2.75,8.11,-156.0625,10.9375,-7.1875,0.0685,0.4105,0.9084,0.0399
-0.06,2.8,7.97,-166.6875,11.9375,-8.875,0.0734,0.4088,0.9081,0.053
