lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-1.73,3.72,5.88,79.0625,204.375,-176.0625,-0.3066,0.9255,0.1204,-0.1871
-2.02,3.77,5.77,65.3125,196.0625,-178.8125,-0.3165,0.9248,0.1282,-0.1677
-2.0,3.73,5.17,51.6875,190.375,-182.1875,-0.325,0.924,0.1366,-0.1485
-2.34,3.86,5.19,38.75,186.375,-186.6875,-0.3325,0.9228,0.1456,-0.1292
-2.6,3.87,5.4,26.75,180.8125,-189.3125,-0.3387,0.9214,0.1549,-0.1101
-2.62,3.81,5.41,15.5625,173.0625,-192.375,-0.3439,0.9199,0.1647,-0.0913
-2.55,3.79,5.49,4.0,167.4375,-196.5,-0.348,0.9182,0.175,-0.0726
-2.5,3.92,5.43,-7.75,164.0,-200.0,-0.351,0.9162,0.1857,-0.0539
-2.52,4.09,5.22,-18.875,159.6875,-204.5,-0.3529,0.9141,0.1969,-0.0352
-1.97,4.5,4.58,-29.0,154.9375,-209.3125,-0.3538,0.9117,0.2085,-0.0165
-1.94,4.64,4.23,-38.375,151.375,-213.4375,-0.3537,0.9091,0.2204,0.0022
-2.05,4.72,4.2,-46.25,149.375,-216.0,-0.3528,0.9061,0.2324,0.021
-1.33,4.66,4.42,-53.0,146.75,-217.25,-0.3511,0.903,0.2445,0.0397
-0.96,4.64,4.26,-58.5,142.0,-216.375,-0.3488,0.8995,0.2566,0.0582
-0.6,4.79,3.93,-62.4375,138.3125,-212.25,-0.3459,0.8959,0.2682,0.0763
0.22,5.13,3.5,-64.625,137.0,-204.125,-0.3427,0.892,0.2792,0.0941
2.6,5.71,2.25,-63.9375,135.1875,-191.75,-0.3395,0.8881,0.2892,0.1113
3.17,5.74,1.89,-58.3125,130.125,-176.5625,-0.3366,0.8841,0.2981,0.1275
3.72,5.57,1.66,-49.75,120.125,-158.0625,-0.3341,0.8801,0.3059,0.1422
4.59,5.18,1.05,-40.375,105.4375,-136.25,-0.3322,0.8763,0.3125,0.1549
5.03,5.23,0.86,-30.3125,87.6875,-113.4375,-0.3307,0.873,0.3181,0.1654
5.03,5.23,0.45,-19.25,67.625,-86.8125,-0.3299,0.8702,0.3223,0.1733
5.11,4.97,0.17,-9.375,49.9375,-56.0,-0.3298,0.8682,0.3248,0.1788
5.94,4.72,-0.09,0.75,33.75,-26.4375,-0.3303,0.8669,0.3259,0.182
5.99,4.54,-0.25,11.4375,16.3125,3.3125,-0.3317,0.8665,0.3253,0.1827
5.9,4.49,-0.34,21.9375,-0.5625,33.25,-0.3338,0.8668,0.3232,0.1812
5.5,4.26,-0.18,32.9375,-15.875,63.0625,-0.3367,0.8678,0.3196,0.1774
5.11,4.08,0.07,43.4375,-31.875,93.0,-0.3405,0.8695,0.3143,0.1712
4.54,3.92,0.17,53.375,-48.625,121.25,-0.3448,0.8718,0.3076,0.1627
2.88,3.47,0.22,62.5,-63.75,145.0,-0.3497,0.8746,0.2996,0.1522
2.27,3.27,0.29,70.25,-75.5625,163.6875,-0.355,0.8774,0.2905,0.14
1.71,3.08,0.29,76.0,-84.6875,178.8125,-0.3607,0.8804,0.2807,0.1264
1.11,3.06,0.36,80.5,-90.625,190.25,-0.3665,0.8833,0.2701,0.1119
-0.3,2.75,1.02,83.4375,-93.125,199.125,-0.3724,0.886,0.2589,0.0969
-0.87,2.47,1.36,85.25,-94.625,204.75,-0.3783,0.8884,0.2472,0.0815
-1.51,2.0,1.65,85.4375,-96.0625,205.0,-0.384,0.8904,0.2354,0.066
-3.36,0.8,1.99,83.5,-95.5625,199.125,-0.3894,0.892,0.2239,0.0507
-4.24,0.16,1.99,79.4375,-93.0625,187.0625,-0.3944,0.8931,0.2132,0.0359
-5.11,-0.55,2.03,72.375,-87.875,169.0625,-0.3987,0.8939,0.2036,0.0224
-6.43,-1.99,2.37,61.875,-79.0,144.875,-0.4023,0.8943,0.1954,0.0105
-6.7,-2.46,2.51,47.5,-66.5625,116.5625,-0.4048,0.8947,0.1889,0.0007
-6.9,-2.79,2.6,28.9375,-51.0,84.5,-0.4062,0.895,0.1842,-0.0065
