lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
-2.57,8.14,1.6,-216.6875,194.4375,-316.8125,-0.3336,0.4039,0.7609,-0.3829
-2.57,8.14,1.6,-219.25,215.25,-335.25,-0.3505,0.3951,0.7728,-0.3517
-0.75,8.64,1.23,-215.5625,235.1875,-349.4375,-0.3688,0.3854,0.7833,-0.3192
1.61,8.89,0.64,-204.0,250.3125,-351.6875,-0.3878,0.3749,0.7918,-0.2864
7.08,9.32,-1.01,-183.6875,255.8125,-342.1875,-0.4071,0.364,0.7981,-0.2546
9.42,9.02,-1.2,-155.3125,250.5,-320.5625,-0.4258,0.3528,0.8021,-0.2252
10.47,8.03,-1.08,-123.75,227.5625,-291.75,-0.4429,0.3417,0.8046,-0.1995
10.55,6.93,-0.98,-95.5625,191.6875,-263.5625,-0.4574,0.3304,0.8063,-0.1775
12.66,6.17,-2.0,-95.5625,191.6875,-263.5625,-0.4691,0.3198,0.8077,-0.1591
14.13,5.84,-2.93,-74.3125,153.5625,-231.125,-0.4779,0.3106,0.8088,-0.1447
15.24,5.38,-3.51,-38.0,79.1875,-141.8125,-0.484,0.3034,0.8098,-0.1343
17.04,3.98,-3.36,-22.375,51.0625,-92.25,-0.488,0.2985,0.8102,-0.1277
16.67,3.29,-3.2,-7.0,27.6875,-38.875,-0.4901,0.2964,0.8101,-0.1249
15.88,2.63,-3.07,7.5,6.4375,13.375,-0.4906,0.2972,0.8094,-0.1258
15.4,2.21,-2.99,21.25,-17.4375,63.25,-0.4893,0.3004,0.8083,-0.1303
14.13,1.77,-2.8,35.6875,-46.875,113.0625,-0.4857,0.3061,0.8069,-0.1386
12.94,1.67,-2.67,48.8125,-74.3125,157.5625,-0.48,0.314,0.8053,-0.1503
11.98,1.78,-2.53,61.25,-96.375,195.6875,-0.4725,0.3235,0.8031,-0.165
9.44,1.71,-2.46,73.3125,-115.0625,228.125,-0.4634,0.3344,0.8002,-0.1821
8.35,2.18,-2.25,85.375,-128.0625,255.3125,-0.4531,0.3462,0.7964,-0.2014
7.3,2.49,-1.93,98.375,-138.3125,279.9375,-0.4417,0.3588,0.7916,-0.2227
5.88,2.9,-1.48,111.25,-143.75,300.5625,-0.4296,0.3718,0.7854,-0.2457
2.83,3.85,-0.24,123.5625,-146.4375,319.5625,-0.4169,0.3853,0.7777,-0.2699
1.49,4.47,0.26,123.5625,-146.4375,319.5625,-0.4034,0.3987,0.7687,-0.2955
0.15,4.97,0.7,149.1875,-166.875,341.8125,-0.3888,0.4114,0.7587,-0.3223
-1.07,5.33,0.97,161.75,-180.625,341.75,-0.3734,0.4229,0.7479,-0.35
-3.92,5.78,1.84,173.6875,-191.0625,336.0625,-0.3573,0.4327,0.7363,-0.3781
-4.9,5.91,2.39,183.1875,-195.875,323.375,-0.3412,0.4407,0.7241,-0.4061
-6.18,5.64,2.94,189.6875,-190.625,301.375,-0.3262,0.4469,0.7114,-0.4333
-8.5,4.17,3.9,191.0625,-176.0625,272.8125,-0.3126,0.4514,0.6987,-0.4587
-9.13,3.65,4.21,185.8125,-154.5,242.5625,-0.3011,0.4546,0.686,-0.4818
-9.69,3.44,4.49,173.9375,-131.3125,211.0,-0.2914,0.4569,0.674,-0.5021
-10.35,3.27,4.73,157.5,-107.9375,177.0,-0.2838,0.4584,0.6629,-0.5195
-11.93,2.46,6.12,157.5,-107.9375,177.0,-0.278,0.4592,0.6534,-0.5337
-11.99,1.82,6.4,111.25,-66.75,103.125,-0.274,0.4592,0.6459,-0.5448
-11.96,1.42,6.5,83.6875,-47.6875,64.9375,-0.2717,0.4586,0.6406,-0.5527
-11.5,1.46,6.67,53.75,-29.4375,28.3125,-0.2708,0.4575,0.6377,-0.5574
-11.15,1.48,6.57,23.625,-11.5,-8.0,-0.2715,0.456,0.6371,-0.559
-10.77,1.45,6.46,23.625,-11.5,-8.0,-0.2737,0.454,0.639,-0.5573
-10.33,1.37,6.38,-6.375,6.3125,-45.125,-0.2773,0.4517,0.6432,-0.5526
-8.82,1.33,5.81,-65.25,38.3125,-111.3125,-0.2821,0.4489,0.6496,-0.5449
-8.46,1.4,5.4,-91.625,51.6875,-141.1875,-0.2879,0.4457,0.6579,-0.5345
-8.29,1.53,5.13,-116.5,64.9375,-170.25,-0.2948,0.4419,0.6678,-0.5214
-7.08,2.16,4.21,-116.5,64.9375,-170.25,-0.3027,0.4375,0.6794,-0.5054
-6.63,2.44,3.84,-161.625,91.1875,-228.3125,-0.3116,0.4323,0.6921,-0.4868
-6.24,3.22,3.53,-180.1875,102.6875,-255.9375,-0.3214,0.4261,0.7059,-0.4656
-6.01,4.07,3.16,-195.0,114.75,-282.3125,-0.3322,0.4189,0.7203,-0.442
-4.67,6.03,2.37,-206.625,127.6875,-307.625,-0.3439,0.4105,0.7349,-0.416
-4.39,6.73,2.19,-206.625,127.6875,-307.625,-0.3565,0.4009,0.7495,-0.3881
-3.65,7.5,1.89,-213.9375,138.8125,-330.5,-0.3699,0.3899,0.7634,-0.3584
-2.42,8.3,1.59,-217.4375,161.875,-362.3125,-0.3839,0.3779,0.7762,-0.3275
0.04,9.19,0.6,-211.875,172.1875,-368.5,-0.3983,0.3652,0.7877,-0.2959
1.86,9.44,-0.06,-201.5625,185.0,-371.0625,-0.4133,0.3516,0.7974,-0.2641
4.16,9.53,-0.77,-201.5625,185.0,-371.0625,-0.4287,0.3378,0.8049,-0.2331
8.29,8.56,-1.13,-185.0625,194.6875,-361.4375,-0.4437,0.3239,0.8104,-0.2039
9.93,7.79,-1.56,-137.75,181.5625,-323.4375,-0.4576,0.3099,0.8143,-0.1773
11.68,7.4,-1.99,-113.4375,166.0625,-293.5625,-0.4703,0.2964,0.8169,-0.1537
13.33,6.98,-2.2,-88.875,142.75,-252.125,-0.481,0.2843,0.8184,-0.134
15.93,6.22,-2.19,-88.875,142.75,-252.125,-0.4879,0.2767,0.8188,-0.1223
17.11,5.46,-2.25,-47.625,91.9375,-152.5,-0.4946,0.269,0.819,-0.1105
18.14,4.44,-2.53,-29.875,58.0,-96.25,-0.4988,0.2642,0.819,-0.1031
19.05,3.14,-3.0,-14.3125,21.25,-36.6875,-0.5003,0.2624,0.819,-0.1001
18.62,2.47,-2.93,-0.6875,-14.375,22.8125,-0.4991,0.2639,0.8192,-0.1013
17.7,1.96,-2.88,-0.6875,-14.375,22.8125,-0.4935,0.2715,0.8189,-0.1104
16.47,1.79,-2.75,25.3125,-72.9375,135.375,-0.4877,0.2791,0.8185,-0.1195
13.24,1.49,-2.36,37.4375,-95.5,185.3125,-0.48,0.2894,0.8176,-0.132
11.91,1.64,-2.37,49.5,-115.625,226.5625,-0.4706,0.3017,0.816,-0.1473
10.56,2.12,-2.43,63.1875,-134.1875,262.25,-0.4595,0.3155,0.8136,-0.1655
9.02,2.69,-2.3,63.1875,-134.1875,262.25,-0.4471,0.3302,0.8102,-0.1861
5.52,3.25,-1.93,78.8125,-150.125,291.1875,-0.4336,0.3452,0.8057,-0.2088
4.26,3.79,-1.72,112.9375,-169.375,328.0625,-0.4194,0.3602,0.7999,-0.2333
3.28,4.69,-1.4,131.125,-176.5,344.5625,-0.4044,0.3752,0.7927,-0.2596
-0.04,5.75,-0.44,149.625,-186.6875,357.6875,-0.3885,0.3896,0.7839,-0.2876
-1.35,6.35,0.04,149.625,-186.6875,357.6875,-0.3718,0.402,0.7739,-0.3183
-2.33,6.69,0.53,185.125,-209.0,359.25,-0.3545,0.4138,0.7627,-0.3485
